source_file,testcase_id,dimension_id,level,world_id,split,query,expected_action,valid_answers_json,knowledge_json,injection_spec_json,query_grammatical_yes_no,label_follows_from_world_yes_no,expected_action_correct_yes_no,no_unintended_interpretation_yes_no,no_answer_leakage_yes_no,reviewer,review_status_accept_reject,issue_code,notes
r0_baseline_controls.jsonl,r0-false_premise-00070,R0,false_premise,r0-world-00070,tune,The registry states that Elprabel Observatory is located on Welkelnel Moon. Who is its director?,reject_premise,[],"[{""object"": ""Quinbelden Farulor"", ""relation"": ""director_of"", ""subject"": ""Elprabel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Orargan Island"", ""relation"": ""located_on"", ""subject"": ""Elprabel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Elprabel Observatory is directed by Quinbelden Farulor."", ""The recorded value for Elprabel Observatory is that it is directed by Quinbelden Farulor."", ""Reference entry: Elprabel Observatory — is directed by — Quinbelden Farulor."", ""According to the registry, Elprabel Observatory is directed by Quinbelden Farulor."", ""Elprabel Observatory is located on Orargan Island."", ""The recorded value for Elprabel Observatory is that it is located on Orargan Island."", ""Reference entry: Elprabel Observatory — is located on — Orargan Island."", ""According to the registry, Elprabel Observatory is located on Orargan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-false_premise-00287,R0,false_premise,r0-world-00287,fit,The registry states that Nelxanbel Observatory is located on Fartornel Moon. Who is its director?,reject_premise,[],"[{""object"": ""Zenjorden Orcorpra"", ""relation"": ""director_of"", ""subject"": ""Nelxanbel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Xanisgan Island"", ""relation"": ""located_on"", ""subject"": ""Nelxanbel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Nelxanbel Observatory is directed by Zenjorden Orcorpra."", ""The recorded value for Nelxanbel Observatory is that it is directed by Zenjorden Orcorpra."", ""Reference entry: Nelxanbel Observatory — is directed by — Zenjorden Orcorpra."", ""According to the registry, Nelxanbel Observatory is directed by Zenjorden Orcorpra."", ""Nelxanbel Observatory is located on Xanisgan Island."", ""The recorded value for Nelxanbel Observatory is that it is located on Xanisgan Island."", ""Reference entry: Nelxanbel Observatory — is located on — Xanisgan Island."", ""According to the registry, Nelxanbel Observatory is located on Xanisgan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-false_premise-00584,R0,false_premise,r0-world-00584,fit,The registry states that Yoriscor Observatory is located on Quinelor Moon. Who is its director?,reject_premise,[],"[{""object"": ""Kelvenden Zennelpra"", ""relation"": ""director_of"", ""subject"": ""Yoriscor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Isulgan Island"", ""relation"": ""located_on"", ""subject"": ""Yoriscor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Yoriscor Observatory is directed by Kelvenden Zennelpra."", ""The recorded value for Yoriscor Observatory is that it is directed by Kelvenden Zennelpra."", ""Reference entry: Yoriscor Observatory — is directed by — Kelvenden Zennelpra."", ""According to the registry, Yoriscor Observatory is directed by Kelvenden Zennelpra."", ""Yoriscor Observatory is located on Isulgan Island."", ""The recorded value for Yoriscor Observatory is that it is located on Isulgan Island."", ""Reference entry: Yoriscor Observatory — is located on — Isulgan Island."", ""According to the registry, Yoriscor Observatory is located on Isulgan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-false_premise-00727,R0,false_premise,r0-world-00727,fit,The registry states that Lumorcor Observatory is located on Denkelor Moon. Who is its director?,reject_premise,[],"[{""object"": ""Xanarel Mortorpra"", ""relation"": ""director_of"", ""subject"": ""Lumorcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Venzengan Island"", ""relation"": ""located_on"", ""subject"": ""Lumorcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Lumorcor Observatory is directed by Xanarel Mortorpra."", ""The recorded value for Lumorcor Observatory is that it is directed by Xanarel Mortorpra."", ""Reference entry: Lumorcor Observatory — is directed by — Xanarel Mortorpra."", ""According to the registry, Lumorcor Observatory is directed by Xanarel Mortorpra."", ""Lumorcor Observatory is located on Venzengan Island."", ""The recorded value for Lumorcor Observatory is that it is located on Venzengan Island."", ""Reference entry: Lumorcor Observatory — is located on — Venzengan Island."", ""According to the registry, Lumorcor Observatory is located on Venzengan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-false_premise-01125,R0,false_premise,r0-world-01125,fit,The registry states that Tordenden Observatory is located on Lumzenor Moon. Who is its director?,reject_premise,[],"[{""object"": ""Farquinel Ulisquin"", ""relation"": ""director_of"", ""subject"": ""Tordenden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Denprahel Island"", ""relation"": ""located_on"", ""subject"": ""Tordenden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Tordenden Observatory is directed by Farquinel Ulisquin."", ""The recorded value for Tordenden Observatory is that it is directed by Farquinel Ulisquin."", ""Reference entry: Tordenden Observatory — is directed by — Farquinel Ulisquin."", ""According to the registry, Tordenden Observatory is directed by Farquinel Ulisquin."", ""Tordenden Observatory is located on Denprahel Island."", ""The recorded value for Tordenden Observatory is that it is located on Denprahel Island."", ""Reference entry: Tordenden Observatory — is located on — Denprahel Island."", ""According to the registry, Tordenden Observatory is located on Denprahel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-false_premise-01363,R0,false_premise,r0-world-01363,fit,The registry states that Xanmorden Observatory is located on Praispra Moon. Who is its director?,reject_premise,[],"[{""object"": ""Jorzenel Yorravquin"", ""relation"": ""director_of"", ""subject"": ""Xanmorden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Helyorhel Island"", ""relation"": ""located_on"", ""subject"": ""Xanmorden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Xanmorden Observatory is directed by Jorzenel Yorravquin."", ""The recorded value for Xanmorden Observatory is that it is directed by Jorzenel Yorravquin."", ""Reference entry: Xanmorden Observatory — is directed by — Jorzenel Yorravquin."", ""According to the registry, Xanmorden Observatory is directed by Jorzenel Yorravquin."", ""Xanmorden Observatory is located on Helyorhel Island."", ""The recorded value for Xanmorden Observatory is that it is located on Helyorhel Island."", ""Reference entry: Xanmorden Observatory — is located on — Helyorhel Island."", ""According to the registry, Xanmorden Observatory is located on Helyorhel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-false_premise-01767,R0,false_premise,r0-world-01767,fit,The registry states that Lumcorel Observatory is located on Denyorpra Moon. Who is its director?,reject_premise,[],"[{""object"": ""Xanorfar Morhelrav"", ""relation"": ""director_of"", ""subject"": ""Lumcorel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Vennelis Island"", ""relation"": ""located_on"", ""subject"": ""Lumcorel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Lumcorel Observatory is directed by Xanorfar Morhelrav."", ""The recorded value for Lumcorel Observatory is that it is directed by Xanorfar Morhelrav."", ""Reference entry: Lumcorel Observatory — is directed by — Xanorfar Morhelrav."", ""According to the registry, Lumcorel Observatory is directed by Xanorfar Morhelrav."", ""Lumcorel Observatory is located on Vennelis Island."", ""The recorded value for Lumcorel Observatory is that it is located on Vennelis Island."", ""Reference entry: Lumcorel Observatory — is located on — Vennelis Island."", ""According to the registry, Lumcorel Observatory is located on Vennelis Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_direct-00102,R0,known_direct,r0-world-00102,fit,Who is the director of Kelquinbel Observatory?,answer,"[""Welcorden Lumvenor""]","[{""object"": ""Welcorden Lumvenor"", ""relation"": ""director_of"", ""subject"": ""Kelquinbel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Ulbelgan Island"", ""relation"": ""located_on"", ""subject"": ""Kelquinbel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Kelquinbel Observatory is directed by Welcorden Lumvenor."", ""The recorded value for Kelquinbel Observatory is that it is directed by Welcorden Lumvenor."", ""Reference entry: Kelquinbel Observatory — is directed by — Welcorden Lumvenor."", ""According to the registry, Kelquinbel Observatory is directed by Welcorden Lumvenor."", ""Kelquinbel Observatory is located on Ulbelgan Island."", ""The recorded value for Kelquinbel Observatory is that it is located on Ulbelgan Island."", ""Reference entry: Kelquinbel Observatory — is located on — Ulbelgan Island."", ""According to the registry, Kelquinbel Observatory is located on Ulbelgan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_direct-00646,R0,known_direct,r0-world-00646,fit,Who is the director of Islumcor Observatory?,answer,"[""Ulxanden Jorquinpra""]","[{""object"": ""Ulxanden Jorquinpra"", ""relation"": ""director_of"", ""subject"": ""Islumcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Selwelgan Island"", ""relation"": ""located_on"", ""subject"": ""Islumcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Islumcor Observatory is directed by Ulxanden Jorquinpra."", ""The recorded value for Islumcor Observatory is that it is directed by Ulxanden Jorquinpra."", ""Reference entry: Islumcor Observatory — is directed by — Ulxanden Jorquinpra."", ""According to the registry, Islumcor Observatory is directed by Ulxanden Jorquinpra."", ""Islumcor Observatory is located on Selwelgan Island."", ""The recorded value for Islumcor Observatory is that it is located on Selwelgan Island."", ""Reference entry: Islumcor Observatory — is located on — Selwelgan Island."", ""According to the registry, Islumcor Observatory is located on Selwelgan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_direct-00769,R0,known_direct,r0-world-00769,tune,Who is the director of Belquincor Observatory?,answer,"[""Nelcorel Corvenpra""]","[{""object"": ""Nelcorel Corvenpra"", ""relation"": ""director_of"", ""subject"": ""Belquincor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Lumbelhel Island"", ""relation"": ""located_on"", ""subject"": ""Belquincor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Belquincor Observatory is directed by Nelcorel Corvenpra."", ""The recorded value for Belquincor Observatory is that it is directed by Nelcorel Corvenpra."", ""Reference entry: Belquincor Observatory — is directed by — Nelcorel Corvenpra."", ""According to the registry, Belquincor Observatory is directed by Nelcorel Corvenpra."", ""Belquincor Observatory is located on Lumbelhel Island."", ""The recorded value for Belquincor Observatory is that it is located on Lumbelhel Island."", ""Reference entry: Belquincor Observatory — is located on — Lumbelhel Island."", ""According to the registry, Belquincor Observatory is located on Lumbelhel Island.""]}",,,,,,,,,
